time_s,q1_rad,q2_rad,q3_rad,q4_rad,q5_rad,q6_rad,dq1_rad_s,dq2_rad_s,dq3_rad_s,dq4_rad_s,dq5_rad_s,dq6_rad_s,ddq1_rad_s2,ddq2_rad_s2,ddq3_rad_s2,ddq4_rad_s2,ddq5_rad_s2,ddq6_rad_s2,ee_x_m,ee_y_m,ee_z_m
0.00000000,0.00000000,-0.55000000,1.00000000,0.00000000,-0.45000000,0.00000000,0.00000000,-0.00000000,0.00000000,0.00000000,-0.00000000,0.00000000,0.00000000,-0.00000000,0.00000000,0.00000000,-0.00000000,0.00000000,0.56409938,-0.31004471,0.15344994
0.02000000,0.00000202,-0.55000076,1.00000076,0.00000091,-0.45000000,0.00000051,0.00030229,-0.00011350,0.00011373,0.00013558,-0.00000000,0.00007579,0.02998566,-0.01125874,0.01128090,0.01344820,-0.00000036,0.00751828,0.56409986,-0.31004357,0.15344977
0.04000000,0.00001599,-0.55000600,1.00000602,0.00000717,-0.45000000,0.00000401,0.00118975,-0.00044672,0.00044760,0.00053359,-0.00000001,0.00029831,0.05852040,-0.02197270,0.02201594,0.02624568,-0.00000070,0.01467276,0.56410320,-0.31003569,0.15344858
0.06000000,0.00005332,-0.55002002,1.00002006,0.00002391,-0.45000000,0.00001337,0.00263360,-0.00098884,0.00099078,0.00118113,-0.00000003,0.00066032,0.08562782,-0.03215075,0.03221402,0.03840302,-0.00000102,0.02146938,0.56411211,-0.31001463,0.15344542
0.08000000,0.00012486,-0.55004688,1.00004697,0.00005600,-0.45000000,0.00003131,0.00460551,-0.00172923,0.00173264,0.00206551,-0.00000005,0.00115473,0.11133150,-0.04180173,0.04188399,0.04993080,-0.00000132,0.02791404,0.56412917,-0.30997428,0.15343937
0.10000000,0.00024088,-0.55009044,1.00009062,0.00010803,-0.45000000,0.00006040,0.00707765,-0.00265745,0.00266268,0.00317424,-0.00000008,0.00177457,0.13565504,-0.05093451,0.05103474,0.06083961,-0.00000161,0.03401266,0.56415685,-0.30990883,0.15342955
0.12000000,0.00041112,-0.55015436,1.00015467,0.00018438,-0.45000000,0.00010308,0.01002267,-0.00376322,0.00377062,0.00449504,-0.00000012,0.00251297,0.15862203,-0.05955794,0.05967514,0.07114002,-0.00000189,0.03977115,0.56419744,-0.30981279,0.15341514
0.14000000,0.00064476,-0.55024209,1.00024256,0.00028917,-0.45000001,0.00016166,0.01341365,-0.00503643,0.00504634,0.00601586,-0.00000016,0.00336319,0.18025606,-0.06768089,0.06781407,0.08084261,-0.00000214,0.04519543,0.56425313,-0.30968097,0.15339536
0.16000000,0.00095046,-0.55035687,1.00035757,0.00042627,-0.45000001,0.00023831,0.01722418,-0.00646718,0.00647990,0.00772483,-0.00000020,0.00431860,0.20058072,-0.07531221,0.07546041,0.08995797,-0.00000239,0.05029141,0.56432594,-0.30950848,0.15336949
0.18000000,0.00133635,-0.55050176,1.00050275,0.00059934,-0.45000002,0.00033506,0.02142831,-0.00804570,0.00806154,0.00961033,-0.00000025,0.00537270,0.21961961,-0.08246075,0.08262303,0.09849668,-0.00000261,0.05506501,0.56441776,-0.30929073,0.15333683
0.20000000,0.00181004,-0.55067962,1.00068096,0.00081178,-0.45000002,0.00045383,0.02600055,-0.00976245,0.00978166,0.01166092,-0.00000031,0.00651909,0.23739632,-0.08913539,0.08931080,0.10646931,-0.00000282,0.05952215,0.56453036,-0.30902339,0.15329675
0.22000000,0.00237866,-0.55089312,1.00089487,0.00106680,-0.45000003,0.00059640,0.03091590,-0.01160802,0.01163086,0.01386540,-0.00000037,0.00775151,0.25393444,-0.09534497,0.09553260,0.11388645,-0.00000302,0.06366874,0.56466533,-0.30870244,0.15324864
0.24000000,0.00304880,-0.55114474,1.00114699,0.00136735,-0.45000004,0.00076442,0.03614983,-0.01357321,0.01359992,0.01621275,-0.00000043,0.00906381,0.26925756,-0.10109836,0.10129730,0.12075868,-0.00000320,0.06751069,0.56482416,-0.30832411,0.15319195
0.26000000,0.00382661,-0.55143678,1.00143961,0.00171619,-0.45000005,0.00095944,0.04167826,-0.01564897,0.01567977,0.01869218,-0.00000050,0.01044995,0.28338927,-0.10640440,0.10661379,0.12709658,-0.00000337,0.07105392,0.56500815,-0.30788490,0.15312616
0.28000000,0.00471774,-0.55177137,1.00177486,0.00211585,-0.45000006,0.00118287,0.04747761,-0.01782646,0.01786154,0.02129312,-0.00000056,0.01190402,0.29635318,-0.11127197,0.11149094,0.13291073,-0.00000353,0.07430434,0.56521850,-0.30738158,0.15305080
0.30000000,0.00572737,-0.55215046,1.00215469,0.00256865,-0.45000007,0.00143602,0.05352476,-0.02009699,0.02013653,0.02400519,-0.00000064,0.01342021,0.30817286,-0.11570992,0.11593762,0.13821171,-0.00000367,0.07726788,0.56545623,-0.30681118,0.15296544
0.32000000,0.00686023,-0.55257582,1.00258089,0.00307673,-0.45000008,0.00172006,0.05979706,-0.02245205,0.02249623,0.02681824,-0.00000071,0.01499286,0.31887191,-0.11972710,0.11996270,0.14301011,-0.00000379,0.07995045,0.56572224,-0.30617096,0.15286968
0.34000000,0.00812061,-0.55304905,1.00305505,0.00364199,-0.45000010,0.00203607,0.06627232,-0.02488332,0.02493229,0.02972232,-0.00000079,0.01661640,0.32847393,-0.12333238,0.12357508,0.14731649,-0.00000391,0.08235795,0.56601727,-0.30545843,0.15276318
0.36000000,0.00951233,-0.55357160,1.00357863,0.00426616,-0.45000011,0.00238502,0.07292886,-0.02738266,0.02743654,0.03270769,-0.00000087,0.01828538,0.33700250,-0.12653461,0.12678361,0.15114145,-0.00000401,0.08449631,0.56634192,-0.30467134,0.15264561
0.38000000,0.01103883,-0.55414476,1.00415291,0.00495078,-0.45000013,0.00276775,0.07974542,-0.02994208,0.03000100,0.03576484,-0.00000095,0.01999449,0.34448122,-0.12934265,0.12959718,0.15449557,-0.00000410,0.08637144,0.56669664,-0.30380768,0.15251671
0.40000000,0.01270308,-0.55476964,1.00477902,0.00569717,-0.45000015,0.00318503,0.08670126,-0.03255379,0.03261786,0.03888444,-0.00000103,0.02173852,0.35093369,-0.13176536,0.13202465,0.15738942,-0.00000418,0.08798926,0.56708176,-0.30286565,0.15237622
0.42000000,0.01450767,-0.55544721,1.00545793,0.00650651,-0.45000017,0.00363749,0.09377609,-0.03521018,0.03527947,0.04205741,-0.00000112,0.02351239,0.35638348,-0.13381160,0.13407492,0.15983358,-0.00000424,0.08935568,0.56749743,-0.30184369,0.15222395
0.44000000,0.01645478,-0.55617829,1.00619045,0.00737977,-0.45000020,0.00412569,0.10095008,-0.03790381,0.03797840,0.04527486,-0.00000120,0.02531111,0.36085420,-0.13549022,0.13575685,0.16183864,-0.00000429,0.09047662,0.56794370,-0.30074045,0.15205972
0.46000000,0.01854621,-0.55696356,1.00697726,0.00831774,-0.45000022,0.00465007,0.10820388,-0.04062740,0.04070735,0.04852810,-0.00000129,0.02712986,0.36436943,-0.13681009,0.13707931,0.16341518,-0.00000434,0.09135799,0.56842046,-0.29955478,0.15188341
0.48000000,0.02078334,-0.55780354,1.00781890,0.00932107,-0.45000025,0.00521099,0.11551864,-0.04337388,0.04345923,0.05180868,-0.00000137,0.02896388,0.36695278,-0.13778006,0.13805119,0.16457378,-0.00000437,0.09200571,0.56892747,-0.29828575,0.15169491
0.50000000,0.02316723,-0.55869862,1.00871574,0.01039022,-0.45000028,0.00580870,0.12287594,-0.04613633,0.04622712,0.05510834,-0.00000146,0.03080857,0.36862782,-0.13840899,0.13868136,0.16532502,-0.00000439,0.09242570,0.56946437,-0.29693265,0.15149416
0.52000000,0.02569855,-0.55964905,1.00966804,0.01152548,-0.45000031,0.00644337,0.13025786,-0.04890802,0.04900427,0.05841904,-0.00000155,0.03265943,0.36941816,-0.13870574,0.13897869,0.16567947,-0.00000440,0.09262386,0.57003067,-0.29549492,0.15128111
0.54000000,0.02837760,-0.56065496,1.01067593,0.01272700,-0.45000034,0.00711509,0.13764693,-0.05168240,0.05178411,0.06173294,-0.00000164,0.03451208,0.36934738,-0.13867917,0.13895206,0.16564773,-0.00000440,0.09260611,0.57062574,-0.29397224,0.15105577
0.56000000,0.03120436,-0.56171633,1.01173938,0.01399477,-0.45000037,0.00782384,0.14502617,-0.05445309,0.05456025,0.06504244,-0.00000173,0.03636227,0.36843908,-0.13833813,0.13861035,0.16524037,-0.00000438,0.09237837,0.57124886,-0.29236446,0.15081816
0.58000000,0.03417847,-0.56283302,1.01285827,0.01532862,-0.45000041,0.00856953,0.15237906,-0.05721389,0.05732648,0.06834012,-0.00000181,0.03820585,0.36671685,-0.13769148,0.13796243,0.16446797,-0.00000436,0.09194656,0.57189917,-0.29067162,0.15056834
